127.0.0.1 - - [26/Nov/2021:12:42:59 +0900] "GET / HTTP/1.1" 200 11363
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:44:14 +0900] "GET /window4.html HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:44:14 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:45:31 +0900] "GET /day7/window4.html HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:45:33 +0900] "GET /day7/popup.html HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:45:42 +0900] "GET /day7/window4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:47:17 +0900] "GET /day7/window4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:47:18 +0900] "GET /day7/popup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:47:21 +0900] "GET /day7/window4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:54:59 +0900] "POST /signup HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:59:16 +0900] "POST /signup HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:59:57 +0900] "POST /signup HTTP/1.1" 404 814
